Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Surrogate models by means of functional kriging to estimate uncertainty in reservoir and geomechanical simulations,Computational Geosciences,,,,10.1007/s10596-025-10365-7,Gaia ChiantellaLaura DoveraAnna CorradiLorenzo TamelliniPietro Zanotti,2025,https://link.springer.com/article/10.1007/s10596-025-10365-7,Article
Analytic solutions and field-scale application for verification of coupled thermo-hydro-mechanical processes in subsurface fractured media,Computational Geosciences,,,,10.1007/s10596-025-10364-8,Yao HuangXiang HuangJeffrey D. HymanZhou LeiKonstantin LipnikovMatthew McLeanJ. David MoultonAidan StansberryMatthew R. SweeneyPhilip H. Stauffer,2025,https://link.springer.com/article/10.1007/s10596-025-10364-8,Article
Efficient multi-scale image reconstruction of heterogeneous rocks with unresolved porosity using octree structures,Computational Geosciences,,,,10.1007/s10596-025-10362-w,Abolfazl MoslemipourSaeid SadeghnejadFrieder EnzmannDavood KhoozanThorsten SchäferMichael Kersten,2025,https://link.springer.com/article/10.1007/s10596-025-10362-w,Article
Influence of fluid dynamics on flow and transport in natural fracture networks,Computational Geosciences,,,,10.1007/s10596-025-10361-x,Cuong Mai BuiStephan K. Matthai,2025,https://link.springer.com/article/10.1007/s10596-025-10361-x,Article
Damage evolution characteristics of natural fractures during hydraulic fracturing process: A peridynamic hydro-mechanical coupling model,Computational Geosciences,,,,10.1007/s10596-025-10360-y,Anjie JinXuri HuangHuatao ZhaoWei Zhu,2025,https://link.springer.com/article/10.1007/s10596-025-10360-y,Article
Lightweight permeability prediction of digital rocks by merging 3D depthwise separable convolution with efficient multiscale attention,Computational Geosciences,,,,10.1007/s10596-025-10363-9,Xuanling XiangYan ChenEnli ZhangChong ZhangMinggen YangHan Zhao,2025,https://link.springer.com/article/10.1007/s10596-025-10363-9,Article
Frequency-domain vector finite element forward modeling of 3D GPR data using exact PML absorbing boundary conditions,Computational Geosciences,,,,10.1007/s10596-025-10357-7,Siyuan DingXun WangDeshan FengLinan XuJames IrvingKlaus Holliger,2025,https://link.springer.com/article/10.1007/s10596-025-10357-7,Article
Multi-scale channel enhanced transformer for rock thin sections identification and sequence consistency optimization,Computational Geosciences,,,,10.1007/s10596-025-10356-8,Xiaoyao GuoYan ChenShipeng HeXingpeng ZhangJing ZhouXucheng Bao,2025,https://link.springer.com/article/10.1007/s10596-025-10356-8,Article
Identification of moving sources in stochastic flow fields: A bayesian inferential approach with application to marine traffic in the mediterranean sea,Computational Geosciences,,,,10.1007/s10596-025-10350-0,Issam LakkisAlexios RustomMohamad Abed El Rahman HammoudLeila IssaOmar KnioOlivier Le MaitreIbrahim Hoteit,2025,https://link.springer.com/article/10.1007/s10596-025-10350-0,Article
Multiple data assimilation as an approximate maximum a posteriori estimator,Computational Geosciences,,,,10.1007/s10596-025-10355-9,Kristen MichaelsonAndrey A. PopovRenato Zanetti,2025,https://link.springer.com/article/10.1007/s10596-025-10355-9,Article
Three-dimensional numerical modeling of natural convection in underground cavities connected to the surface by a well,Computational Geosciences,,,,10.1007/s10596-025-10353-x,Georges EddeGeorges SadakaRaphaël AntoineIonut Danaila,2025,https://link.springer.com/article/10.1007/s10596-025-10353-x,Article
A post-processing solution to restore numerical consistency for classical flow routing algorithms,Computational Geosciences,,,,10.1007/s10596-025-10359-5,Julien CoatlévenBenoit Chauveau,2025,https://link.springer.com/article/10.1007/s10596-025-10359-5,Article
High-precision geosteering via reinforcement learning and particle filters,Computational Geosciences,,,,10.1007/s10596-025-10352-y,Ressi Bonti MuhammadApoorv SrivastavaSergey AlyaevReidar B. BratvoldDaniel M. Tartakovsky,2025,https://link.springer.com/article/10.1007/s10596-025-10352-y,Article
Fluid flow analysis of discrete fracture networks using a locally conservative stable mixed finite element method,Computational Geosciences,,,,10.1007/s10596-025-10358-6,Nathan ShauerJosé B. Villegas S.Bernd FlemischPhilippe R. B. Devloo,2025,https://link.springer.com/article/10.1007/s10596-025-10358-6,Article
Ensemble-regularized Kernel density estimation with applications to the ensemble Gaussian mixture filter,Computational Geosciences,,,,10.1007/s10596-025-10354-w,Andrey A. PopovEnrico M. ZucchelliRenato Zanetti,2025,https://link.springer.com/article/10.1007/s10596-025-10354-w,Article
"A fully-implicit solving approach to an adaptive multi-scale model - coupling a vertical-equilibrium and full-dimensional model for compressible, multi-phase flow in porous media",Computational Geosciences,,,,10.1007/s10596-025-10351-z,Ivan BunticMartin SchneiderBernd FlemischRainer Helmig,2025,https://link.springer.com/article/10.1007/s10596-025-10351-z,Article
Downscaling using CDAnet under observational and model noise: the Rayleigh-Bénard convection paradigm,Computational Geosciences,,,,10.1007/s10596-024-10337-3,Mohamad Abed El Rahman HammoudEdriss S. TitiIbrahim HoteitOmar Knio,2025,https://link.springer.com/article/10.1007/s10596-024-10337-3,Article
Theoretical results on a block preconditioner used in ice-sheet modeling: eigenvalue bounds for singular power-law fluids,Computational Geosciences,,,,10.1007/s10596-025-10339-9,Christian HelanowJosefin Ahlkrona,2025,https://link.springer.com/article/10.1007/s10596-025-10339-9,Article
Enhancing 3D seismic facies interpretation through a modified patched deep learning approach leveraging spatio-temporal dependencies,Computational Geosciences,,,,10.1007/s10596-024-10334-6,Miao TianSumit VermaYining Gao,2025,https://link.springer.com/article/10.1007/s10596-024-10334-6,Article
Multi-parameter post-stack seismic inversion based on the cycle loop – semi-supervised learning,Computational Geosciences,,,,10.1007/s10596-024-10336-4,Urip Nurwijayanto PrabowoSudarmajiSismanto,2025,https://link.springer.com/article/10.1007/s10596-024-10336-4,Article
Minimum acceptance criteria for subsurface scenario-based uncertainty models from single image generative adversarial networks (SinGAN),Computational Geosciences,,,,10.1007/s10596-024-10330-w,Lei LiuJose J. SalazarHonggeun JoMaša ProdanovićMichael J. Pyrcz,2025,https://link.springer.com/article/10.1007/s10596-024-10330-w,Article
Multifidelity uncertainty quantification for ice sheet simulations,Computational Geosciences,,,,10.1007/s10596-024-10329-3,Nicole AretzMax GunzburgerMathieu MorlighemKaren Willcox,2025,https://link.springer.com/article/10.1007/s10596-024-10329-3,Article
Two-phase flow in heterogeneous porous media based on Brinkman and Darcy models,Computational Geosciences,,,,10.1007/s10596-024-10333-7,Thiago F. KonopkaMarcio S. Carvalho,2025,https://link.springer.com/article/10.1007/s10596-024-10333-7,Article
Estimation of distribution algorithms for well placement optimization in petroleum fields,Computational Geosciences,,,,10.1007/s10596-024-10331-9,Artur BrumGuilherme CoelhoAntonio Alberto SantosDenis José Schiozer,2024,https://link.springer.com/article/10.1007/s10596-024-10331-9,Article
Spectral-element modeling of the time-domain electromagnetic field in 3D geophysical anisotropic media,Computational Geosciences,,,,10.1007/s10596-024-10335-5,Beatriz Valdés-MorenoJonas D. De BasabeMarco A. Pérez-Flores,2024,https://link.springer.com/article/10.1007/s10596-024-10335-5,Article
Optimizing convergence: GMRES preconditioner for Darcy flow problem in a fracture network,Computational Geosciences,,,,10.1007/s10596-024-10332-8,Shahbaz AhmadWasif Khan,2024,https://link.springer.com/article/10.1007/s10596-024-10332-8,Article
A discrete fracture matrix framework for simulating single-phase flow and non-isothermal reactive transport,Computational Geosciences,,,,10.1007/s10596-024-10327-5,Shin Irgens BanshoyaInga BerreEirik Keilegavlen,2024,https://link.springer.com/article/10.1007/s10596-024-10327-5,Article
A sensitivity analysis of the impact of shut-in water cut of reactive control on net present value of waterflooding under reservoir uncertainty,Computational Geosciences,,,,10.1007/s10596-024-10326-6,Vinícius Rafael de FreitasEmanuel Pereira Barroso NetoWilliam Humberto Cuéllar SánchezEugênio Libório Feitosa FortalezaAri Schveitzer JrMarcelo Gonzalez,2024,https://link.springer.com/article/10.1007/s10596-024-10326-6,Article
Source localization in subsurface aquifers based on conservation data by learning a Gaussian kernel,Computational Geosciences,,,,10.1007/s10596-024-10325-7,Yin FengAhmed TemaniAnireju Dudun,2024,https://link.springer.com/article/10.1007/s10596-024-10325-7,Article
Deep learning surrogate for predicting hydraulic conductivity tensors from stochastic discrete fracture-matrix models,Computational Geosciences,,,,10.1007/s10596-024-10324-8,Martin ŠpetlíkJan BřezinaEric Laloy,2024,https://link.springer.com/article/10.1007/s10596-024-10324-8,Article
Neural networks for source mechanism inversion from surface microseismic data,Computational Geosciences,,,,10.1007/s10596-024-10323-9,Grigory KonyukhovSergey Yaskevich,2024,https://link.springer.com/article/10.1007/s10596-024-10323-9,Article
High-speed algorithm for computing the inflow to multiple-fractured horizontal wells using stream tubes,Computational Geosciences,,,,10.1007/s10596-024-10322-w,Konstantin PotashevAlexander MazoMaria MukhinaAlmaz UraimovDmitri MaklakovMarsel Khamidullin,2024,https://link.springer.com/article/10.1007/s10596-024-10322-w,Article
Adaptive regularization for the Richards equation,Computational Geosciences,,,,10.1007/s10596-024-10309-7,François FévotteAri RappaportMartin Vohralík,2024,https://link.springer.com/article/10.1007/s10596-024-10309-7,Article
High-order exponential integration for seismic wave modeling,Computational Geosciences,,,,10.1007/s10596-024-10319-5,Fernando V. RaveloMartin SchreiberPedro S. Peixoto,2024,https://link.springer.com/article/10.1007/s10596-024-10319-5,Article
Incorporating spatial variability in surface runoff modeling with new DEM-based distributed approaches,Computational Geosciences,,,,10.1007/s10596-024-10321-x,Dário Macedo LimaAdriano Rolim da PazYunqing XuanDaniel Gustavo Allasia Piccilli,2024,https://link.springer.com/article/10.1007/s10596-024-10321-x,Article
Towards practical artificial intelligence in Earth sciences,Computational Geosciences,,,,10.1007/s10596-024-10317-7,Ziheng SunTalya ten BrinkWendy CarandeGerbrand KorenNicoleta CristeaCorin JorgensonBhargavi JangaGokul Prathin AsamaniSanjana AchanMike MahoneyQian HuangArmin MehrabianThilanka MunasingheZhong LiuAaron MargolisPeter WebleyBing GongYuhan RaoAnnie BurgessAndrew HuangLaura SandovalBrianna R. PagánSebnem Duzgun,2024,https://link.springer.com/article/10.1007/s10596-024-10317-7,Article
Application of deep learning reduced-order modeling for single-phase flow in faulted porous media,Computational Geosciences,,,,10.1007/s10596-024-10320-y,Enrico BalliniLuca FormaggiaAlessio FumagalliAnna ScottiPaolo Zunino,2024,https://link.springer.com/article/10.1007/s10596-024-10320-y,Article
Application of supervised machine learning to assess and manage fluid-injection-induced seismicity hazards based on the Montney region of northeastern British Columbia,Computational Geosciences,,,,10.1007/s10596-024-10318-6,Afshin AminiErik EberhardtAli Mehrabifard,2024,https://link.springer.com/article/10.1007/s10596-024-10318-6,Article
A general approach to computing derivatives for Hessian-based seismic inversion,Computational Geosciences,,,,10.1007/s10596-024-10316-8,Bruno S. SilvaJessé C. CostaJörg Schleicher,2024,https://link.springer.com/article/10.1007/s10596-024-10316-8,Article
A recipe to generate sustainably maintainable and extensible hydrogeological datasets to prepare large-scale groundwater models for multiple aquifer systems,Computational Geosciences,,,,10.1007/s10596-024-10315-9,Christian SiebertTino RödigerTimo HoubenMariaines diDatoThomas FischerSabine AttingerThomas Kalbacher,2024,https://link.springer.com/article/10.1007/s10596-024-10315-9,Article
Auto-weighted Bayesian Physics-Informed Neural Networks and robust estimations for multitask inverse problems in pore-scale imaging of dissolution,Computational Geosciences,,,,10.1007/s10596-024-10313-x,Sarah PerezPhilippe Poncet,2024,https://link.springer.com/article/10.1007/s10596-024-10313-x,Article
A modified Flux Corrected Transport method coupled with the MPFA-H formulation for the numerical simulation of two-phase flows in petroleum reservoirs using 2D unstructured meshes,Computational Geosciences,,,,10.1007/s10596-024-10306-w,Phillipe C. G. da SilvaGustavo L. S. S. PachecoPedro V. P. AlbuquerqueMárcio R. A. SouzaFernando R. L. ContrerasPaulo R. M. LyraDarlan K. E. Carvalho,2024,https://link.springer.com/article/10.1007/s10596-024-10306-w,Article
A novel hierarchical model calibration method for deep water reservoirs under depletion and aquifer influence,Computational Geosciences,,,,10.1007/s10596-024-10314-w,Ao LiFaruk Omer AlpakEduardo JimenezTzu-hao YehAndrew RittsVivek JainHongquan ChenAkhil Datta-Gupta,2024,https://link.springer.com/article/10.1007/s10596-024-10314-w,Article
Medial Access Path Search (MAPS) for pore-network extraction,Computational Geosciences,,,,10.1007/s10596-024-10307-9,Yuze ZhangJie LiuTao ZhangShuyu Sun,2024,https://link.springer.com/article/10.1007/s10596-024-10307-9,Article
Pore-scale study on the permeability characteristics of fractured rock under hydraulic-chemical coupling,Computational Geosciences,,,,10.1007/s10596-024-10308-8,Zheng ChenChuan-Yong ZhuBo YuLiang Gong,2024,https://link.springer.com/article/10.1007/s10596-024-10308-8,Article
Modeling alterations in relative permeability curves due to salinity using artificial neural networks,Computational Geosciences,,,,10.1007/s10596-024-10312-y,Vinicius CzarnobayLuis Fernando LamasDamianni SebrãoLuiz Adolfo Hegele Jr.,2024,https://link.springer.com/article/10.1007/s10596-024-10312-y,Article
A numerical model for offshore Geological Carbon Storage (GCS) undergoing hydrate formation,Computational Geosciences,,,,10.1007/s10596-024-10311-z,Yufei WangEric FlauraudAnthony MichelVéronique LachetClémentine Meiller,2024,https://link.springer.com/article/10.1007/s10596-024-10311-z,Article
Consistent prediction of well paths and geological surfaces,Computational Geosciences,,,,10.1007/s10596-024-10310-0,Ariel Almendral VázquezPål DahlePetter AbrahamsenAudun Sektnan,2024,https://link.springer.com/article/10.1007/s10596-024-10310-0,Article
"Less-Intrusive Consistent Discretization Methods for Reservoir Simulation on Cut-cell Grids – Algorithms, Implementation, and Testing",Computational Geosciences,,,,10.1007/s10596-024-10299-6,Faruk O. AlpakMohamad JammoulMary F. WheelerKachi Onyeagoro,2024,https://link.springer.com/article/10.1007/s10596-024-10299-6,Article
Characterizing competitive adsorption and diffusion of methane and carbon dioxide in kerogen type-III slit model,Computational Geosciences,,,,10.1007/s10596-024-10295-w,Jihong ShiTao ZhangXiaoping XieWei WeiLiang GongShuyu Sun,2024,https://link.springer.com/article/10.1007/s10596-024-10295-w,Article
Unsupervised segmentation for sandstone thin section image analysis,Computational Geosciences,,,,10.1007/s10596-024-10304-y,Rayan T. C. M. BarbosaE. L. FariaMatheus KlattThais C. SilvaJuliana. M. CoelhoThais F. MatosBernardo C. C. SantosJ. L. GonzalezClécio R. BomMárcio P. de AlbuquerqueMarcelo P. de Albuquerque,2024,https://link.springer.com/article/10.1007/s10596-024-10304-y,Article
Application of a dispersive wave hydro-sediment-morphodynamic model in the Ria Formosa lagoon,Computational Geosciences,,,,10.1007/s10596-024-10305-x,Kazbek KazhykenEirik ValsethJuha VidemanClint Dawson,2024,https://link.springer.com/article/10.1007/s10596-024-10305-x,Article
Contact algorithm of the material point method and comparison with the finite element method,Computational Geosciences,,,,10.1007/s10596-024-10302-0,Peng HuangDong-huan LiuHu GuoKe XieQing-ping ZhangZhi-fang Deng,2024,https://link.springer.com/article/10.1007/s10596-024-10302-0,Article
Determining optimal controls placed on injection/production wells during waterflooding in heterogeneous oil reservoirs using artificial neural network models and multi-objective genetic algorithm,Computational Geosciences,,,,10.1007/s10596-024-10300-2,Onyebuchi Ivan NwanweNkemakolam Chinedu IzuwaNnaemeka Princewill OhiaAnthony KerunwaNnaemeka Uwaezuoke,2024,https://link.springer.com/article/10.1007/s10596-024-10300-2,Article
Study on the microscopic pore permeability behavior of granite under multiple cycles of cold-hot alternating damage effects,Computational Geosciences,,,,10.1007/s10596-024-10303-z,Li YuHaonan LiYue WuWeihao WangXinyuan Zhang,2024,https://link.springer.com/article/10.1007/s10596-024-10303-z,Article
Effect of fracture structure on heat transfer in heat pipes in a submarine hydrothermal reservoir,Computational Geosciences,,,,10.1007/s10596-024-10301-1,Gaowei YiYan LiDa ZhangShiqiao Zhou,2024,https://link.springer.com/article/10.1007/s10596-024-10301-1,Article
An integrated approach to derive relative permeability from capillary pressure,Computational Geosciences,,,,10.1007/s10596-024-10297-8,Nathan MoodieBrian McPherson,2024,https://link.springer.com/article/10.1007/s10596-024-10297-8,Article
"Stochastic pix2vid: A new spatiotemporal deep learning method for image-to-video synthesis in geologic CO<span class=""mathjax-tex"">\(_2\)</span> storage prediction",Computational Geosciences,,,,10.1007/s10596-024-10298-7,Misael M. MoralesCarlos Torres-VerdínMichael J. Pyrcz,2024,https://link.springer.com/article/10.1007/s10596-024-10298-7,Article
Application of IDEAL algorithm based on the collocated unstructured grid for incompressible flows,Computational Geosciences,,,,10.1007/s10596-024-10296-9,Yujie ChenKong LingXiaoyu ZhangYue XiangDongliang SunBo YuWei ZhangWenquan Tao,2024,https://link.springer.com/article/10.1007/s10596-024-10296-9,Article
Multiscale model diagnostics,Computational Geosciences,,,,10.1007/s10596-024-10289-8,Trond Mannseth,2024,https://link.springer.com/article/10.1007/s10596-024-10289-8,Article
Sensitivity analysis of the MCRF model to different transiogram joint modeling methods for simulating categorical spatial variables,Computational Geosciences,,,,10.1007/s10596-024-10294-x,Bo ZhangWeidong LiChuanrong Zhang,2024,https://link.springer.com/article/10.1007/s10596-024-10294-x,Article
A comparison study of spatial and temporal schemes for flow and transport problems in fractured media with large parameter contrasts on small length scales,Computational Geosciences,,,,10.1007/s10596-024-10293-y,Wansheng GaoInsa NeuweilerThomas Wick,2024,https://link.springer.com/article/10.1007/s10596-024-10293-y,Article
Iterative data-driven construction of surrogates for an efficient Bayesian identification of oil spill source parameters from image contours,Computational Geosciences,,,,10.1007/s10596-024-10288-9,Samah El MohtarOlivier Le MaîtreOmar KnioIbrahim Hoteit,2024,https://link.springer.com/article/10.1007/s10596-024-10288-9,Article
Automation of the meshing process of geological data,Computational Geosciences,,,,10.1007/s10596-024-10290-1,Sui Bun LoOubay HassanJason JonesXiaolong LiuNevan C HimmelbergDean Thornton,2024,https://link.springer.com/article/10.1007/s10596-024-10290-1,Article
"Constrained pressure-temperature residual (CPTR) preconditioner performance for large-scale thermal CO<span class=""mathjax-tex"">\(_2\)</span> injection simulation",Computational Geosciences,,,,10.1007/s10596-024-10292-z,Matthias A. CremonJacques FrancFrançois P. Hamon,2024,https://link.springer.com/article/10.1007/s10596-024-10292-z,Article
Sparrow search algorithm-driven clustering analysis of rock mass&#xa0;discontinuity sets,Computational Geosciences,,,,10.1007/s10596-024-10287-w,Wenxuan WuWenkai FengXiaoyu YiJiachen ZhaoYongjian Zhou,2024,https://link.springer.com/article/10.1007/s10596-024-10287-w,Article
Robust inversion of 1D magnetotelluric data using the Huber loss function,Computational Geosciences,,,,10.1007/s10596-024-10286-x,Elfitra DesifatmaI. Gede Putu Fadjar Soerya DjajaPrihandhanu Mukti PratomoSupriyadiEnjang Jaenal MustopaMaria EvitaMitra DjamalWahyu Srigutomo,2024,https://link.springer.com/article/10.1007/s10596-024-10286-x,Article
Special issue: selected contributions from the 18th European Conference on the Mathematics of Geological Reservoirs (ECMOR 2022),Computational Geosciences,,,,10.1007/s10596-024-10291-0,Ralf Schulze-RiegertAhmed H. ElsheikhAlberto CominelliStephan Matthai,2024,https://link.springer.com/article/10.1007/s10596-024-10291-0,Article
Speeding up the reservoir simulation by real time prediction of the initial guess for the Newton-Raphson’s iterations,Computational Geosciences,,,,10.1007/s10596-024-10284-z,Musheg PetrosyantsVladislav TrifonovEgor IllarionovDmitry Koroteev,2024,https://link.springer.com/article/10.1007/s10596-024-10284-z,Article
A method for developing and calibrating optimization techniques for oil production management strategy applications,Computational Geosciences,,,,10.1007/s10596-024-10282-1,Leandro H. DanesGuilherme D. AvansiDenis J. Schiozer,2024,https://link.springer.com/article/10.1007/s10596-024-10282-1,Article
Improvements in the genetic algorithm inversion of receiver functions using extinction and a new selection approach,Computational Geosciences,,,,10.1007/s10596-024-10283-0,Admore Phindani MpuangTakuo Shibutani,2024,https://link.springer.com/article/10.1007/s10596-024-10283-0,Article
Analysis of the hyperparameter optimisation of four machine learning satellite imagery classification methods,Computational Geosciences,,,,10.1007/s10596-024-10285-y,Francisco Alonso-SarríaCarmen Valdivieso-RosFrancisco Gomariz-Castillo,2024,https://link.springer.com/article/10.1007/s10596-024-10285-y,Article
A multi-aggregator graph neural network for backbone exaction of fracture networks,Computational Geosciences,,,,10.1007/s10596-024-10281-2,Tianji ZhengChengcheng SunJian ZhangJiawei YeXiaobin RuiZhixiao Wang,2024,https://link.springer.com/article/10.1007/s10596-024-10281-2,Article
A mineral precipitation model based on the volume of fluid method,Computational Geosciences,,,,10.1007/s10596-024-10280-3,Ziyan WangIlenia Battiato,2024,https://link.springer.com/article/10.1007/s10596-024-10280-3,Article
Conditional stochastic simulation of fluvial reservoirs using multi-scale concurrent generative adversarial networks,Computational Geosciences,,,,10.1007/s10596-024-10279-w,Ting ZhangMengkai YinHualin BaiAnqin ZhangYi Du,2024,https://link.springer.com/article/10.1007/s10596-024-10279-w,Article
A new method based on multiresolution graph-based clustering for lithofacies analysis of well logging,Computational Geosciences,,,,10.1007/s10596-024-10277-y,Xin LuoJianmeng SunJinyan ZhangWei Liu,2024,https://link.springer.com/article/10.1007/s10596-024-10277-y,Article
Rigid transformations for stabilized lower dimensional space to support subsurface uncertainty quantification and interpretation,Computational Geosciences,,,,10.1007/s10596-024-10278-x,Ademide O. MabadejeMichael J. Pyrcz,2024,https://link.springer.com/article/10.1007/s10596-024-10278-x,Article
Improved spatial understanding of induced seismicity hazard from the discretization of a curved fault surface,Computational Geosciences,,,,10.1007/s10596-024-10276-z,Kevin L. McCormackPhilip J. Smith,2024,https://link.springer.com/article/10.1007/s10596-024-10276-z,Article
Derivative-free search approaches for optimization of well inflow control valves and controls,Computational Geosciences,,,,10.1007/s10596-024-10270-5,Mathias C. BelloutThiago L. SilvaJan Øystein Haavig BakkeCarl Fredrik Berg,2024,https://link.springer.com/article/10.1007/s10596-024-10270-5,Article
A mortar method for the coupled Stokes-Darcy problem using the MAC scheme for Stokes and mixed finite elements for Darcy,Computational Geosciences,,,,10.1007/s10596-023-10267-6,Wietse M. BoonDennis GläserRainer HelmigKilian WeishauptIvan Yotov,2024,https://link.springer.com/article/10.1007/s10596-023-10267-6,Article
A benchmark study on reactive two-phase flow in porous media: Part II - results and discussion,Computational Geosciences,,,,10.1007/s10596-024-10269-y,Etienne AhusbordeBrahim AmazianeStephan de HoopMustapha El OssmaniEric FlauraudFrançois P. HamonMichel KernAdrien SociéDanyang SuK. Ulrich MayerMichal TóthDenis Voskov,2024,https://link.springer.com/article/10.1007/s10596-024-10269-y,Article
Modeling low saline carbonated water flooding including surface complexes,Computational Geosciences,,,,10.1007/s10596-024-10274-1,A.C. AlvarezJ. BruiningD. Marchesin,2024,https://link.springer.com/article/10.1007/s10596-024-10274-1,Article
A generalized time-domain velocity-stress seismic wave equation for composite viscoelastic media with a topographic relief and an irregular seabed,Computational Geosciences,,,,10.1007/s10596-024-10273-2,Chao JinBing ZhouMohamed Kamel RiahiMohamed Jamal Zemerly,2024,https://link.springer.com/article/10.1007/s10596-024-10273-2,Article
A benchmark study on reactive two-phase flow in porous media: Part I - model description,Computational Geosciences,,,,10.1007/s10596-024-10268-z,Stephan de HoopDenis VoskovEtienne AhusbordeBrahim AmazianeMichel Kern,2024,https://link.springer.com/article/10.1007/s10596-024-10268-z,Article
Extraction of weak geochemical anomalies based on multiple-point statistics and local singularity analysis,Computational Geosciences,,,,10.1007/s10596-024-10272-3,Wenyao FanGang LiuQiyu ChenLaijun LuZhesi CuiBoxin ZuoXuechao Wu,2024,https://link.springer.com/article/10.1007/s10596-024-10272-3,Article
Ensemble-based history matching of the Edvard Grieg field using 4D seismic data,Computational Geosciences,,,,10.1007/s10596-024-10275-0,Rolf J. LorentzenTuhin BhaktaKristian FossumJon André HaugenEspen Oen LieAbel Onana NdingwanKnut Richard Straith,2024,https://link.springer.com/article/10.1007/s10596-024-10275-0,Article
Acknowledgement of Reviewers for 2023,Computational Geosciences,,,,10.1007/s10596-024-10271-4,Clint N. DawsonMary F. WheelerIvan Yotov,2024,https://link.springer.com/article/10.1007/s10596-024-10271-4,Article
Numerical simulation on staggered grids of three-dimensional brinkman-forchheimer flow and heat transfer in porous media,Computational Geosciences,,,,10.1007/s10596-023-10266-7,Wei LiuYingxue SongYanping ChenGexian FanPengshan WangKai Li,2024,https://link.springer.com/article/10.1007/s10596-023-10266-7,Article
